query_name,matched_name,matched_smiles,matched_inchikey,matched_formula,cosine_score,matched_peaks,matched_fragments,precursor_mz,library_precursor_mz,precursor_ppm_diff,adduct,matched_ontology,isotope_score,source_method,source_database,rank
Unknown (20.34_760.5780m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.5055,5,86.0966/86.0965(Δ0.0001Da); 104.1068/104.1074(Δ0.0006Da); 184.0762/184.0741(Δ0.0021Da); 185.0767/185.0775(Δ0.0008Da); 760.58/760.5847(Δ0.0047Da),760.578,760.585,-9.2,[M+H]+,,,matchMS,Drug,2
Unknown (20.57_760.5779m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.9343,4,86.0966/86.0965(Δ0.0001Da); 125.0005/124.9992(Δ0.0013Da); 184.0747/184.0741(Δ0.0006Da); 760.5786/760.5847(Δ0.0061Da),760.5779,760.585,-9.34,[M+H]+,,,matchMS,Drug,1
Unknown (20.57_760.5779m/z),1-(9Z-octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.9341,3,86.0966/86.0967(Δ0.0001Da); 125.0005/124.9995(Δ0.0010Da); 184.0747/184.0735(Δ0.0012Da),760.5779,760.5851,-9.47,[M+H]+,,,matchMS,Drug,2
Unknown (20.57_760.5779m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.9282,4,86.0966/86.0961(Δ0.0005Da); 125.0005/124.9997(Δ0.0008Da); 184.0747/184.0734(Δ0.0013Da); 760.5786/760.5805(Δ0.0019Da),760.5779,760.582,-5.39,[M+H]+,,,matchMS,Drug,3
Unknown (20.57_760.5779m/z),1-(9Z-octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.9262,4,86.0966/86.0969(Δ0.0003Da); 125.0005/124.9998(Δ0.0007Da); 184.0747/184.0738(Δ0.0009Da); 760.5786/760.5868(Δ0.0082Da),760.5779,760.5851,-9.47,[M+H]+,,,matchMS,Drug,4
Unknown (20.57_760.5779m/z),1-(9Z-octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.5336,3,86.0966/86.0963(Δ0.0003Da); 184.0747/184.0737(Δ0.0010Da); 760.5786/760.5878(Δ0.0092Da),760.5779,760.5851,-9.47,[M+H]+,,,matchMS,Drug,5
Unknown (20.91_760.5778m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.8711,4,86.0965/86.0961(Δ0.0004Da); 104.1068/104.1067(Δ0.0001Da); 125.0005/124.9997(Δ0.0008Da); 184.0746/184.0734(Δ0.0012Da),760.5778,760.582,-5.52,[M+H]+,,,matchMS,Drug,1
Unknown (20.91_760.5778m/z),1-(9Z-octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.8668,3,86.0965/86.0967(Δ0.0002Da); 125.0005/124.9995(Δ0.0010Da); 184.0746/184.0735(Δ0.0011Da),760.5778,760.5851,-9.6,[M+H]+,,,matchMS,Drug,2
Unknown (20.91_760.5778m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.8658,4,86.0965/86.0965(Δ0.0000Da); 104.1068/104.1074(Δ0.0006Da); 125.0005/124.9992(Δ0.0013Da); 184.0746/184.0741(Δ0.0005Da),760.5778,760.585,-9.47,[M+H]+,,,matchMS,Drug,3
Unknown (20.91_760.5778m/z),1-(9Z-octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.8298,3,86.0965/86.0969(Δ0.0004Da); 125.0005/124.9998(Δ0.0007Da); 184.0746/184.0738(Δ0.0008Da),760.5778,760.5851,-9.6,[M+H]+,,,matchMS,Drug,4
Unknown (21.18_147.0438m/z),Coumarin,O=c1ccc2ccccc2o1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,C9H6O2,0.5597,2,91.0546/91.0542(Δ0.0004Da); 119.0504/119.0492(Δ0.0012Da),147.0438,147.0441,-2.04,[M+H]+,,,matchMS,Drug,1
Unknown (3.00_285.0755m/z),Biochanin A,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,WUADCCWRTIWANL-UHFFFAOYSA-N,C16H12O5,0.8891,2,270.0551/270.0522(Δ0.0029Da); 285.0717/285.0757(Δ0.0040Da),285.0755,285.0757,-0.7,[M+H]+,,,matchMS,Drug,1
Unknown (3.00_285.0755m/z),Biochanin A,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,WUADCCWRTIWANL-UHFFFAOYSA-N,C16H12O5,0.8889,2,270.0551/270.0522(Δ0.0029Da); 285.0717/285.0757(Δ0.0040Da),285.0755,285.0757,-0.7,[M+H]+,,,matchMS,Drug,2
Unknown (3.00_285.0755m/z),nan,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,WUADCCWRTIWANL-UHFFFAOYSA-N,C16H12O5,0.8837,2,270.0551/270.0523(Δ0.0028Da); 285.0717/285.0755(Δ0.0038Da),285.0755,285.076,-1.75,[M+H]+,,,matchMS,Drug,3
Unknown (3.00_285.0755m/z),nan,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,WUADCCWRTIWANL-UHFFFAOYSA-N,C16H12O5,0.878,2,270.0551/270.0528(Δ0.0023Da); 285.0717/285.0758(Δ0.0041Da),285.0755,285.076,-1.75,[M+H]+,,,matchMS,Drug,4
Unknown (3.00_285.0755m/z),nan,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,WUADCCWRTIWANL-UHFFFAOYSA-N,C16H12O5,0.8409,2,270.0551/270.0519(Δ0.0032Da); 285.0717/285.0755(Δ0.0038Da),285.0755,285.076,-1.75,[M+H]+,,,matchMS,Drug,5
Unknown (6.86_345.0963m/z),nan,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,DRRWBCNQOKKKOL-UHFFFAOYSA-N,C18H16O7,0.5742,2,329.0643/329.0656(Δ0.0013Da); 345.0965/345.0968(Δ0.0003Da),345.0963,345.097,-2.03,[M+H]+,,,matchMS,Drug,1
Unknown (6.86_345.0963m/z),Eupatilin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,DRRWBCNQOKKKOL-UHFFFAOYSA-N,C18H16O7,0.5742,2,329.0643/329.0656(Δ0.0013Da); 345.0965/345.0968(Δ0.0003Da),345.0963,345.09688,-1.68,[M+H]+,,,matchMS,Drug,2
Unknown (9.91_357.0952m/z),nan,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,MLKXDPUZXIRXEP-UHFFFAOYSA-N,C20H17FO3S,0.6058,2,340.095/340.0934(Δ0.0016Da); 357.0969/357.0956(Δ0.0013Da),357.0952,357.096,-2.24,[M+H]+,,,matchMS,Drug,1
Unknown (9.91_357.0952m/z),Sulindac (Clinoril),CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,MLKXDPUZXIRXEP-UHFFFAOYSA-N,C20H17FO3S,0.5545,7,281.0793/281.0761(Δ0.0032Da); 295.0589/295.0942(Δ0.0353Da); 296.0667/296.0978(Δ0.0311Da); 297.0749/297.0732(Δ0.0017Da); 340.095/340.0918(Δ0.0032Da); 341.0653/341.0948(Δ0.0295Da); 357.0969/357.0966(Δ0.0003Da),357.0952,357.09552019617,-0.9,[M+H]+,,,matchMS,Drug,2
Unknown (9.91_357.0952m/z),nan,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,MLKXDPUZXIRXEP-UHFFFAOYSA-N,C20H17FO3S,0.5536,7,281.0793/281.0761(Δ0.0032Da); 295.0589/295.0941(Δ0.0352Da); 296.0667/296.0977(Δ0.0310Da); 297.0749/297.0732(Δ0.0017Da); 340.095/340.0918(Δ0.0032Da); 341.0653/341.0948(Δ0.0295Da); 357.0969/357.0966(Δ0.0003Da),357.0952,357.096,-2.24,[M+H]+,,,matchMS,Drug,3
Unknown (9.91_357.0952m/z),Sulindac (Clinoril),CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,MLKXDPUZXIRXEP-UHFFFAOYSA-N,C20H17FO3S,0.5536,7,281.0793/281.0761(Δ0.0032Da); 295.0589/295.0941(Δ0.0352Da); 296.0667/296.0977(Δ0.0310Da); 297.0749/297.0732(Δ0.0017Da); 340.095/340.0918(Δ0.0032Da); 341.0653/341.0948(Δ0.0295Da); 357.0969/357.0966(Δ0.0003Da),357.0952,357.096,-2.24,[M+H]+,,,matchMS,Drug,4
Unknown (9.91_357.0952m/z),nan,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,MLKXDPUZXIRXEP-UHFFFAOYSA-N,C20H17FO3S,0.5345,6,295.0589/295.0956(Δ0.0367Da); 296.0667/296.0988(Δ0.0321Da); 297.0749/297.075(Δ0.0001Da); 340.095/340.093(Δ0.0020Da); 341.0653/341.0947(Δ0.0294Da); 357.0969/357.0979(Δ0.0010Da),357.0952,357.098,-7.84,[M+H]+,,,matchMS,Drug,5
