query_name,matched_name,matched_smiles,matched_inchikey,matched_formula,cosine_score,matched_peaks,precursor_mz,library_precursor_mz,precursor_ppm_diff,adduct,library_ccs,matched_ontology,matched_fragments,source_method,source_database,rank
Unknown (19.36_760.5788m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.6632,5,760.5788,760.582,-4.21,[M+H]+,,,86.0965/86.0961(Δ0.0004Da); 98.9832/98.9842(Δ0.0010Da); 125.0006/124.9997(Δ0.0009Da); 185.0768/185.0765(Δ0.0003Da); 760.5776/760.5805(Δ0.0029Da),DreaMS,Drug,1
Unknown (19.36_760.5788m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.6166,4,760.5788,760.585,-8.15,[M+H]+,,,86.0965/86.0965(Δ0.0000Da); 125.0006/124.9992(Δ0.0014Da); 185.0768/185.0775(Δ0.0007Da); 760.5776/760.5847(Δ0.0071Da),DreaMS,Drug,2
Unknown (19.36_760.5788m/z),1-(9Z-octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.5627,4,760.5788,760.5851,-8.28,[M+H]+,,,86.0965/86.0967(Δ0.0002Da); 98.9832/98.9835(Δ0.0003Da); 125.0006/124.9995(Δ0.0011Da); 185.0768/185.0763(Δ0.0005Da),DreaMS,Drug,3
Unknown (19.36_760.5788m/z),1-(9Z-octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.5102,5,760.5788,760.5851,-8.28,[M+H]+,,,86.0965/86.0963(Δ0.0002Da); 98.9832/98.9833(Δ0.0001Da); 125.0006/124.9993(Δ0.0013Da); 185.0768/185.0764(Δ0.0004Da); 760.5776/760.5878(Δ0.0102Da),DreaMS,Drug,4
Unknown (19.61_760.5760m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.6691,6,760.576,760.582,-7.89,[M+H]+,,,86.0966/86.0961(Δ0.0005Da); 95.0852/95.086(Δ0.0008Da); 104.1072/104.1067(Δ0.0005Da); 125.0007/124.9997(Δ0.0010Da); 184.0748/184.0734(Δ0.0014Da); 760.5776/760.5805(Δ0.0029Da),DreaMS,Drug,1
Unknown (19.62_760.5763m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.6711,4,760.5763,760.582,-7.49,[M+H]+,,,86.0966/86.0961(Δ0.0005Da); 125.0007/124.9997(Δ0.0010Da); 166.0623/166.0628(Δ0.0005Da); 185.0768/185.0765(Δ0.0003Da),DreaMS,Drug,1
Unknown (19.81_636.2935n),nan,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,PGBHMTALBVVCIT-UHFFFAOYSA-N,C23H46N6O13,0.7247,12,637.3007,637.302,-2.04,[M+Na]+,,,83.05/83.0494(Δ0.0006Da); 147.1176/147.1169(Δ0.0007Da); 161.1328/161.1322(Δ0.0006Da); 163.0138/163.0157(Δ0.0019Da); 239.0462/239.0467(Δ0.0005Da); 260.9915/260.993(Δ0.0015Da); 337.0218/337.0233(Δ0.0015Da); 393.0831/393.0858(Δ0.0027Da); 469.1151/469.1171(Δ0.0020Da); 525.1782/525.18(Δ0.0018Da); 581.238/581.2426(Δ0.0046Da); 637.3021/637.3051(Δ0.0030Da),DreaMS,Drug,1
Unknown (19.81_636.2935n),nan,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,PGBHMTALBVVCIT-UHFFFAOYSA-N,C23H46N6O13,0.6491,12,637.3007,637.302,-2.04,[M+Na]+,,,83.05/83.0495(Δ0.0005Da); 147.1176/147.1168(Δ0.0008Da); 161.1328/161.1329(Δ0.0001Da); 163.0138/163.0154(Δ0.0016Da); 239.0462/239.0467(Δ0.0005Da); 260.9915/260.9912(Δ0.0003Da); 337.0218/337.0233(Δ0.0015Da); 393.0831/393.0862(Δ0.0031Da); 469.1151/469.1228(Δ0.0077Da); 525.1782/525.1805(Δ0.0023Da); 581.238/581.2425(Δ0.0045Da); 637.3021/637.305(Δ0.0029Da),DreaMS,Drug,2
Unknown (19.95_760.5767m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.576,4,760.5767,760.582,-6.97,[M+H]+,,,86.0966/86.0961(Δ0.0005Da); 104.1073/104.1067(Δ0.0006Da); 125.0002/124.9997(Δ0.0005Da); 184.0766/184.0734(Δ0.0032Da),DreaMS,Drug,1
Unknown (20.07_760.5775m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.6561,7,760.5775,760.582,-5.92,[M+H]+,,,81.0696/81.0691(Δ0.0005Da); 86.0966/86.0961(Δ0.0005Da); 95.0866/95.086(Δ0.0006Da); 104.1075/104.1067(Δ0.0008Da); 125.001/124.9997(Δ0.0013Da); 185.0767/185.0765(Δ0.0002Da); 760.5779/760.5805(Δ0.0026Da),DreaMS,Drug,1
